agent,step,project,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,fixable_pct
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,8,34.2,12.0,21.8,5.5,5.9,3.7,3.6,0.0,0.0,0.2,86.9
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,9,0.0,15.4,9.7,0.0,0.0,3.4,0.0,3.5,2.1,0.2,34.3
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,10,14.5,13.1,0.0,11.4,0.0,3.8,2.8,2.7,2.0,0.3,50.6
Llama 3 (8B),Diff + ErrLog + Expl + RAG,1,16.2,0.0,7.6,8.5,3.9,1.1,3.5,2.2,1.7,0.0,44.7
Llama 3 (8B),Diff + ErrLog + Expl + RAG,2,22.0,10.9,9.1,11.8,1.8,4.2,4.1,1.6,0.9,0.1,66.5
Llama 3 (8B),Diff + ErrLog + Expl + RAG,3,28.8,18.5,6.6,0.0,3.1,3.4,0.0,2.0,1.2,0.1,63.7
Llama 3 (8B),Diff + ErrLog + Expl + RAG,4,0.0,21.5,8.0,0.0,4.3,3.7,3.2,1.8,1.6,0.2,44.3
Llama 3 (8B),Diff + ErrLog + Expl + RAG,5,26.6,0.0,10.2,6.1,5.0,5.3,2.8,1.5,1.0,0.0,58.5
Llama 3 (8B),Diff + ErrLog + Expl + RAG,6,23.6,12.4,8.0,7.3,3.2,1.8,0.0,2.4,1.7,0.2,60.6
Llama 3 (8B),Diff + ErrLog + Expl + RAG,7,24.1,16.6,6.0,5.2,3.4,0.0,1.4,2.2,1.7,0.1,60.7
Llama 3 (8B),Diff + ErrLog + Expl + RAG,8,27.9,16.2,1.8,3.9,2.3,2.9,2.4,1.9,0.0,0.1,59.4
Llama 3 (8B),Diff + ErrLog + Expl + RAG,9,17.8,0.0,10.0,5.8,6.4,2.8,2.4,2.3,0.0,0.1,47.6
Llama 3 (8B),Diff + ErrLog + Expl + RAG,10,0.0,15.9,1.7,5.4,2.6,1.8,2.2,0.1,1.2,0.1,31.0
,Diff + ErrLog,1,19.8,13.6,8.2,4.3,4.4,0.0,1.6,0.8,0.8,0.1,53.6
,Diff + ErrLog,2,4.1,6.0,7.4,6.3,4.6,3.5,1.4,0.9,0.5,0.0,34.7
,Diff + ErrLog,3,3.7,8.3,0.0,4.5,4.2,1.0,2.6,1.3,0.6,0.3,26.5
,Diff + ErrLog,4,14.9,0.0,7.9,0.0,0.1,2.4,1.5,1.1,0.6,0.2,28.7
,Diff + ErrLog,5,16.6,8.2,7.3,0.3,3.7,2.6,3.4,1.1,0.7,0.2,44.1
,Diff + ErrLog,6,20.0,9.3,6.6,0.0,4.1,3.1,1.7,0.9,0.4,0.2,46.3
,Diff + ErrLog,7,0.0,8.1,4.1,4.8,2.3,2.6,1.4,0.9,0.7,0.2,25.1
,Diff + ErrLog,8,16.3,7.3,1.9,5.0,0.0,2.8,2.3,0.9,0.8,0.1,37.4
,Diff + ErrLog,9,14.2,16.0,0.0,5.4,1.3,0.0,0.0,1.8,0.4,0.3,39.4
,Diff + ErrLog,10,38.4,8.2,6.6,4.4,2.3,0.0,0.1,0.3,0.5,0.4,61.2
GPT-4o,Expl only,1,13.7,6.5,8.2,2.4,3.6,2.3,0.6,1.3,0.7,0.2,39.5
GPT-4o,Expl only,2,0.0,7.4,2.8,2.8,1.8,2.2,1.9,0.7,0.6,0.2,20.4
GPT-4o,Expl only,3,6.6,2.8,5.3,1.6,2.9,0.6,1.2,1.1,0.9,0.3,23.3
GPT-4o,Expl only,4,0.0,5.1,4.7,2.8,0.0,0.0,0.8,0.9,0.7,0.0,15.0
GPT-4o,Expl only,5,20.8,14.0,0.0,6.9,2.6,2.1,1.3,1.8,1.0,0.5,51.0
GPT-4o,Expl only,6,18.6,0.0,3.6,1.1,2.6,0.0,1.1,1.1,0.0,0.2,28.3
GPT-4o,Expl only,7,0.0,0.0,5.4,4.5,2.7,2.4,1.1,1.4,0.0,0.3,17.8
GPT-4o,Expl only,8,23.4,11.6,6.2,2.4,3.2,2.3,1.1,1.1,0.5,0.0,51.8
GPT-4o,Expl only,9,19.8,7.9,7.5,3.4,2.7,2.4,1.6,0.4,0.8,0.0,46.5
GPT-4o,Expl only,10,25.1,9.7,5.3,3.1,2.9,2.7,1.3,1.2,0.8,0.3,52.4
,RAG only,1,7.8,5.3,0.0,2.3,1.8,3.5,0.8,1.7,0.5,0.1,23.8
,RAG only,2,9.2,2.5,5.3,2.2,3.5,0.0,0.7,1.5,0.7,0.3,25.9
,RAG only,3,8.3,5.5,4.1,3.2,2.2,1.9,1.0,0.0,0.3,0.2,26.7
,RAG only,4,9.4,8.7,4.4,2.2,2.5,2.1,0.7,0.1,0.5,0.2,30.8
,RAG only,5,5.2,4.0,0.0,4.5,1.3,0.0,1.2,1.2,0.4,0.0,17.8
,RAG only,6,10.4,6.0,4.8,2.9,0.0,1.3,0.5,1.3,0.5,0.0,27.7
,RAG only,7,5.1,4.1,2.7,0.0,0.0,0.0,1.1,0.2,0.6,0.2,14.0
,RAG only,8,12.7,5.5,5.2,3.3,2.0,1.7,2.5,1.1,0.5,0.0,34.5
,RAG only,9,8.3,3.2,4.9,1.4,2.1,2.3,1.4,0.0,0.5,0.0,24.1
,RAG only,10,10.6,5.2,4.6,3.0,2.6,2.2,1.1,0.9,0.5,0.0,30.7
,Diff + RAG,1,26.2,5.6,5.0,3.7,0.0,2.5,2.0,0.0,0.0,0.1,45.1
,Diff + RAG,2,18.9,4.7,5.2,3.4,4.0,0.0,0.0,1.0,0.6,0.2,38.0
,Diff + RAG,3,14.8,7.7,5.2,2.3,3.2,2.9,1.9,1.3,0.8,0.1,40.2
,Diff + RAG,4,0.0,8.7,5.8,3.2,3.6,0.8,1.6,1.3,0.6,0.1,25.7
,Diff + RAG,5,0.0,7.8,8.4,5.8,2.2,2.8,2.1,1.4,0.6,0.1,31.2
,Diff + RAG,6,19.5,7.3,4.4,4.7,2.9,1.9,1.0,1.1,0.6,0.1,43.5
,Diff + RAG,7,17.8,2.8,3.5,1.2,0.0,3.9,1.8,1.1,0.5,0.2,32.8
,Diff + RAG,8,12.2,12.2,4.2,2.2,2.5,2.2,1.7,0.8,0.6,0.0,38.6
,Diff + RAG,9,12.0,8.9,7.4,2.1,3.5,2.2,1.9,1.0,0.6,0.0,39.6
,Diff + RAG,10,9.6,6.3,5.9,3.4,6.1,1.8,0.0,1.0,0.1,0.1,34.3
,Diff only,1,0.0,7.3,3.8,1.2,0.5,1.7,1.4,0.9,0.4,0.1,17.3
,Diff only,2,0.0,4.6,3.0,2.5,0.9,1.2,0.0,0.7,0.0,0.1,13.0
,Diff only,3,17.0,6.7,2.9,3.0,1.8,0.8,1.9,0.8,0.4,0.0,35.3
,Diff only,4,9.9,1.9,1.8,2.4,2.7,1.3,1.1,0.6,0.5,0.1,22.3
,Diff only,5,10.1,4.2,3.8,1.1,1.9,1.4,2.1,0.0,0.4,0.0,25.0
,Diff only,6,14.1,3.7,3.3,3.0,1.9,1.0,1.2,0.9,0.7,0.2,30.0
,Diff only,7,11.6,0.0,1.5,1.9,1.1,1.6,0.0,0.7,0.4,0.1,18.9
,Diff only,8,14.4,8.1,3.3,2.0,2.0,1.7,0.8,0.7,0.3,0.1,33.4
,Diff only,9,0.0,3.7,3.0,1.8,2.4,0.0,1.5,0.7,0.5,0.1,13.7
,Diff only,10,11.9,4.8,1.6,2.1,1.8,2.3,1.0,1.0,0.4,0.2,27.1
